Salary Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10
6,,,,,,,,,,2702
7,,,,,,,,,2702,2807
8,,,,,,,,2702,2807,2897
8B,,,,,,,,2702,2807,2897
9,,,,,,,2702,2807,2897,3022
9B,,,,,,,2702,2807,2897,3022
10,,,,,,2702,2807,2897,3022,3140
11,,,,,2702,2807,2897,3022,3140,3279
11B,,,,,2702,2807,2897,3022,3140,3279
12,,,,2702,2807,2897,3022,3140,3279,3418
12B,,,,,2807,2897,3022,3140,3279,3418
13,,,2702,2807,2897,3022,3140,3279,3418,3574
13B,,,,,2897,3022,3140,3279,3418,3574
14,,2702,2807,2897,3022,3140,3279,3418,3574,3741
14B,,,,,3022,3140,3279,3418,3574,3741
15,2702,2807,2897,3022,3140,3279,3418,3574,3741,3921
15B,,,,,3140,3279,3418,3574,3741,3921
16,2807,2897,3022,3140,3279,3418,3574,3741,3921,4107
16B,,,,,3279,3418,3574,3741,3921,4107
17,2897,3022,3140,3279,3418,3574,3741,3921,4107,4303
17B,,,,,3418,3574,3741,3921,4107,4303
17T,,,,,3524,3695,3866,4059,4263,4470
18,3022,3140,3279,3418,3574,3741,3921,4107,4303,4507
18B,,,,,3574,3741,3921,4107,4303,4507
18T,,,,,3695,3866,4059,4263,4470,4673
19,3140,3279,3418,3574,3741,3921,4107,4303,4507,4733
19B,,,,,3741,3921,4107,4303,4507,4733
19T,,,,,3866,4059,4263,4470,4673,4895
20,3279,3418,3574,3741,3921,4107,4303,4507,4733,4956
20B,,,,,3921,4107,4303,4507,4733,4956
21,3418,3574,3741,3921,4107,4303,4507,4733,4956,5193
21B,,,,,4107,4303,4507,4733,4956,5193
21I,2791,,,,,,,,,5425
21T,,,,,4255,4453,4666,4896,5142,5386
22,3574,3741,3921,4107,4303,4507,4733,4956,5193,5442
22B,,,,,4303,4507,4733,4956,5193,5442
23,3741,3921,4107,4303,4507,4733,4956,5193,5442,5709
23B,,,,,4507,4733,4956,5193,5442,5709
24,3921,4107,4303,4507,4733,4956,5193,5442,5709,5992
24T,,,,,4879,5106,5354,5632,5915,6203
25,4107,4303,4507,4733,4956,5193,5442,5709,5992,6286
25T,,,,,5106,5354,5632,5915,6203,6495
26,4303,4507,4733,4956,5193,5442,5709,5992,6286,6587
26I,2968,,,,,,,,,6845
27,4507,4733,4956,5193,5442,5709,5992,6286,6587,6913
28,4733,4956,5193,5442,5709,5992,6286,6587,6913,7247
28I,2794,,,,,,,,,7422
29,4956,5193,5442,5709,5992,6286,6587,6913,7247,7601
30,5193,5442,5709,5992,6286,6587,6913,7247,7601,7968
31,5442,5709,5992,6286,6587,6913,7247,7601,7968,8365
32,5709,5992,6286,6587,6913,7247,7601,7968,8365,8765
32I,3362,,,,,,,,,9019
33,5992,6286,6587,6913,7247,7601,7968,8365,8765,9185
34,6286,6587,6913,7247,7601,7968,8365,8765,9185,9624
34I,3677,,,,,,,,,9844
35,6587,6913,7247,7601,7968,8365,8765,9185,9624,10081
36,6913,7247,7601,7968,8365,8765,9185,9624,10081,10560
