userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
1,20,1930.27,2088.29,158.03,2,0
2,20,3860.53,4176.59,316.06,2,0
3,20,5790.8,6264.88,474.08,2,0
4,20,7721.07,8353.18,632.11,2,0
5,20,9651.33,10441.47,790.14,2,0
6,20,11581.6,12529.76,948.17,2,0
7,20,13511.86,14618.06,1106.19,2,0
8,20,15442.13,16706.35,1264.22,2,0
9,20,17372.4,18794.65,1422.25,2,0
10,20,19302.66,20882.94,1580.28,2,0
11,20,21232.93,22971.23,1738.3,2,0
12,20,23163.2,25059.53,1896.33,2,0
13,20,25093.46,27147.82,2054.36,2,0
14,20,27023.73,29236.11,2212.39,2,0
15,20,28953.99,31324.41,2370.41,2,0
16,21,30884.26,33482.22,2597.96,2,1
17,21,32814.53,35574.86,2760.34,2,1
18,21,34744.79,37667.5,2922.71,2,1
19,21,36675.06,39760.14,3085.08,2,1
20,21,38605.33,42374.18,3768.85,2,1
21,21,40535.59,44492.89,3957.3,2,1
22,21,42465.86,46611.6,4145.74,2,1
23,21,44396.12,48730.3,4334.18,2,1
24,21,46326.39,50849.01,4522.62,2,1
25,21,48256.66,52967.72,4711.07,2,1
26,21,50186.92,55764.25,5577.33,2,1
27,21,52117.19,57909.03,5791.84,2,1
28,21,54047.46,60053.81,6006.35,2,1
29,21,55977.72,62198.59,6220.87,2,1
30,21,57907.99,64343.37,6435.38,2,1
31,22,59838.25,66622.84,6784.59,2,2
32,22,61768.52,68771.96,7003.44,2,2
33,22,63698.79,70921.09,7222.3,2,2
34,22,65629.05,73070.21,7441.16,2,2
35,22,67559.32,75219.34,7660.02,2,2
36,22,69489.59,77368.46,7878.88,2,2
37,22,71419.85,79517.58,8097.73,2,2
38,22,73350.12,81666.71,8316.59,2,2
39,22,75280.38,84832.56,9552.18,2,2
40,22,77210.65,87007.76,9797.11,2,2
41,22,80106.05,90270.55,10164.5,2,2
42,22,83001.45,93533.34,10531.89,2,2
43,22,85896.85,96796.13,10899.28,2,2
44,22,88792.25,100058.92,11266.67,2,2
45,22,91687.65,103321.71,11634.06,2,2
46,22,94583.05,106584.5,12001.45,2,2
47,22,97478.45,109847.29,12368.85,2,2
48,22,100373.85,113110.08,12736.24,2,2
49,22,103269.24,116372.87,13103.63,2,2
50,22,106164.64,119635.66,13471.02,2,2
51,22,109060.04,122898.46,13838.41,2,2
52,22,111955.44,126161.25,14205.8,2,2
53,22,114850.84,129424.04,14573.2,2,2
54,22,117746.24,132686.83,14940.59,2,2
55,22,120641.64,135949.62,15307.98,2,2
56,22,123537.04,139212.41,15675.37,2,2
57,22,126432.44,142475.2,16042.76,2,2
58,22,129327.84,145737.99,16410.15,2,2
59,22,132223.24,149000.78,16777.54,2,2
60,22,135118.64,152263.57,17144.94,2,2
61,22,138014.04,155526.36,17512.33,2,2
62,22,140909.44,158789.15,17879.72,2,2
63,22,143804.84,162051.95,18247.11,2,2
64,22,146700.24,165314.74,18614.5,2,2
65,22,149595.63,168577.53,18981.89,2,2
